"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25663","succesfully search a valid product","","Fri Jun 13 07:54:10 GMT+06:00 2025","passed","Fri Jun 13 07:54:35 GMT+06:00 2025","","Evershop website automation test suite","",""
"","4427","successfully login","","Fri Jun 13 07:54:35 GMT+06:00 2025","passed","Fri Jun 13 07:54:39 GMT+06:00 2025","","Evershop account testing","",""
"","24449","successfully signed up with valid information","","Fri Jun 13 07:54:10 GMT+06:00 2025","passed","Fri Jun 13 07:54:35 GMT+06:00 2025","","Evershop account testing","",""
"","6539"," search a invalid product","","Fri Jun 13 07:54:35 GMT+06:00 2025","passed","Fri Jun 13 07:54:42 GMT+06:00 2025","","Evershop website automation test suite","",""
